query_id,arm,ndcg@10,recall@5,recall@10,recall@100,mrr@10
1812,dense,0.193426,0.000000,0.500000,1.000000,0.125000
1812,rrf,0.613147,0.500000,0.500000,1.000000,1.000000
1812,rrf_rerank,0.613147,0.500000,0.500000,1.000000,1.000000
1815,bm25,1.000000,1.000000,1.000000,1.000000,1.000000
1815,dense,1.000000,1.000000,1.000000,1.000000,1.000000
1815,rrf,1.000000,1.000000,1.000000,1.000000,1.000000
1815,rrf_rerank,1.000000,1.000000,1.000000,1.000000,1.000000
1819,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
1819,dense,0.242394,0.166667,0.333333,1.000000,0.333333
1819,rrf,0.000000,0.000000,0.000000,1.000000,0.000000
1819,rrf_rerank,0.302602,0.166667,0.166667,1.000000,1.000000
1824,bm25,0.000000,0.000000,0.000000,1.000000,0.000000
1824,dense,0.630930,1.000000,1.000000,1.000000,0.500000
1824,rrf,0.301030,0.000000,1.000000,1.000000,0.111111
1824,rrf_rerank,0.000000,0.000000,0.000000,1.000000,0.000000
1826,bm25,0.831872,0.750000,0.750000,1.000000,1.000000
1826,dense,0.949389,0.750000,1.000000,1.000000,1.000000
1826,rrf,1.000000,1.000000,1.000000,1.000000,1.000000
1826,rrf_rerank,1.000000,1.000000,1.000000,1.000000,1.000000
1832,bm25,0.500000,1.000000,1.000000,1.000000,0.333333
1832,dense,1.000000,1.000000,1.000000,1.000000,1.000000
1832,rrf,1.000000,1.000000,1.000000,1.000000,1.000000
1832,rrf_rerank,0.430677,1.000000,1.000000,1.000000,0.250000
1871,bm25,0.390380,0.250000,0.250000,1.000000,1.000000
1871,dense,0.697564,0.500000,0.750000,1.000000,1.000000
1871,rrf,0.541400,0.500000,0.500000,1.000000,1.000000
1871,rrf_rerank,0.822372,0.750000,1.000000,1.000000,1.000000
1877,bm25,1.000000,1.000000,1.000000,1.000000,1.000000
1877,dense,1.000000,1.000000,1.000000,1.000000,1.000000
1877,rrf,1.000000,1.000000,1.000000,1.000000,1.000000
1877,rrf_rerank,1.000000,1.000000,1.000000,1.000000,1.000000
1889,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
1889,dense,0.000000,0.000000,0.000000,0.000000,0.000000
1889,rrf,0.000000,0.000000,0.000000,0.000000,0.000000
1889,rrf_rerank,0.000000,0.000000,0.000000,0.000000,0.000000
1915,bm25,0.237198,0.500000,0.500000,0.500000,0.200000
1915,dense,0.693426,1.000000,1.000000,1.000000,0.500000
1915,rrf,0.613147,0.500000,0.500000,1.000000,1.000000
1915,rrf_rerank,0.264068,0.500000,0.500000,1.000000,0.250000
1920,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
1920,dense,0.430677,1.000000,1.000000,1.000000,0.250000
1920,rrf,0.000000,0.000000,0.000000,1.000000,0.000000
1920,rrf_rerank,0.000000,0.000000,0.000000,1.000000,0.000000
1933,bm25,1.000000,1.000000,1.000000,1.000000,1.000000
1933,dense,1.000000,1.000000,1.000000,1.000000,1.000000
1933,rrf,1.000000,1.000000,1.000000,1.000000,1.000000
1933,rrf_rerank,1.000000,1.000000,1.000000,1.000000,1.000000
1948,bm25,0.500000,1.000000,1.000000,1.000000,0.333333
1948,dense,0.500000,1.000000,1.000000,1.000000,0.333333
1948,rrf,1.000000,1.000000,1.000000,1.000000,1.000000
1948,rrf_rerank,1.000000,1.000000,1.000000,1.000000,1.000000
1994,bm25,0.462152,0.400000,0.600000,0.800000,0.500000
1994,dense,0.218851,0.000000,0.400000,0.600000,0.166667
1994,rrf,0.383566,0.400000,0.400000,0.800000,0.500000
1994,rrf_rerank,0.402883,0.400000,0.600000,0.800000,0.333333
2010,bm25,0.296082,0.333333,0.333333,0.666667,0.500000
2010,dense,0.812653,0.666667,1.000000,1.000000,1.000000
2010,rrf,0.625705,0.333333,0.666667,1.000000,1.000000
2010,rrf_rerank,0.671386,0.666667,0.666667,1.000000,1.000000
2051,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
2051,dense,0.000000,0.000000,0.000000,1.000000,0.000000
2051,rrf,0.000000,0.000000,0.000000,1.000000,0.000000
2051,rrf_rerank,0.000000,0.000000,0.000000,1.000000,0.000000
2070,bm25,0.296082,0.333333,0.333333,0.333333,0.500000
2070,dense,0.000000,0.000000,0.000000,0.666667,0.000000
2070,rrf,0.181542,0.333333,0.333333,0.666667,0.200000
2070,rrf_rerank,0.000000,0.000000,0.000000,0.666667,0.000000
2075,bm25,0.235046,0.111111,0.111111,0.222222,1.000000
2075,dense,0.522042,0.222222,0.444444,0.666667,1.000000
2075,rrf,0.232022,0.111111,0.222222,0.666667,0.500000
2075,rrf_rerank,0.218751,0.222222,0.222222,0.666667,0.333333
